annee,ble_dur,ble_tendre,orge,triticale,orge_et_triticale,_source_dataset,المعتمديـة,2013,2014,2015,2016,2017,2018,2019,2020,Evolution De Blé Dur,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
2017.0,950.9,153.4,478.0,21.6,,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018.0,962.4,113.0,315.6,19.0,,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,1267.0,187.7,912.37,31.0,,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,958.5,84.1,465.0,26.0,,evolution-de-la-production-nationale-des-cereales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,القيروان الشمالية,51940.0,142960.0,350400.0,72650.0,94530.0,67760.0,63800.0,71950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,القيروان الجنوبية,135520.0,258865.0,202600.0,159950.0,216020.0,222125.0,266350.0,350400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,السبيخة,175650.0,891325.0,265250.0,173155.0,360440.0,241363.0,345834.0,265250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,الوسلاتية,52320.0,288450.0,34800.0,38870.0,56260.0,4060.0,208560.0,34800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,الشبيكة,143820.0,290280.0,1800.0,160350.0,238640.0,199900.0,108280.0,202600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,حفوز,1860.0,78170.0,0.0,1875.0,25715.0,1600.0,4925.0,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,العلا,110.0,50880.0,4400.0,400.0,32900.0,0.0,9000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,حاجب العيون,4640.0,44800.0,0.0,3800.0,27860.0,3760.0,6440.0,4400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,عين جلولة,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,نصرالله,84400.0,181010.0,17900.0,92550.0,34919.0,16920.0,9000.0,8400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,منزل المهيري,,,,,,,16230.0,17900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,بوحجلة,91340.0,243320.0,98700.0,102960.0,114500.0,104550.0,112620.0,98700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,الشراردة,6340.0,42340.0,1062750.0,3510.0,3270.0,3500.0,9900.0,6550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-de-la-production-vegetale,مجموع الولاية,747940.0,2512400.0,2038600.0,810070.0,1205054.0,865538.0,1160939.0,1062750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,evolution-des-cereales-pendant-la-periode-1980-2022,,,,,,,,,,Année,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
,,,,,,evolution-des-cereales-pendant-la-periode-1980-2022,,,,,,,,,,Production (1000 Qx),500.4,502.2,603.1,307.8,462.4,388.7,88.5,354.0,6.1,24.8,489.2,717.0,760.0,519.0,41.0,87.6,999.3,233.58,328.75,852.31,315.15,427.9,23.75,832.38,691.98,696.9,570.78,770.71,327.63,517.36,108.21,441.95,506.99,140.0,469.2,202.71,84.775,365.48,117.94,534.081,300.922,410.88,254.09
,,,,,,evolution-des-cereales-pendant-la-periode-1980-2022,,,,,,,,,,Sup Recoltée (1000 Ha),56.3,45.8,42.6,38.7,48.9,29.9,15.9,34.0,1.4,5.5,47.5,42.0,45.8,38.7,6.0,19.9,53.1,32.9,37.03,43.97,29.79,26.4,2.01,33.92,34.07,33.24,36.3,35.75,21.02,29.8,10.54,22.84,22.64,10.8,20.4,14.86,11.05,17.824,10.803,19.652,19.475,20.496,20.475
,,,,,,evolution-des-cereales-pendant-la-periode-1980-2022,,,,,,,,,,Rendement (Qx/Ha),8.88809946714032,10.965065502183407,14.157276995305164,7.953488372093023,9.4560327198364,13.0,5.566037735849057,10.411764705882353,4.357142857142857,4.509090909090909,10.298947368421052,17.071428571428573,16.593886462882097,13.410852713178294,6.833333333333333,4.402010050251256,18.81920903954802,7.09969604863222,8.87793680799352,19.38389811234933,10.579053373615306,16.208333333333332,11.815920398009952,24.53950471698113,20.31053712943939,20.965703971119133,15.723966942148762,21.55832167832168,15.586584205518554,17.361073825503357,10.266603415559773,19.34982486865149,22.393551236749115,13.0,23.0,13.641318977119786,7.671945701357466,20.504937163375224,10.917337776543551,27.176928556889884,15.45170731707317,20.046838407494146,12.409768009768008
,,,,,,evolution-des-cereales-pendant-la-periode-1980-2022,,,,,,,,,,Sup Emblavée (1000 Ha),57.3,46.1,42.6,40.6,57.0,30.0,26.2,34.6,29.9,40.2,47.5,43.1,45.8,39.4,36.9,49.9,54.0,38.9,41.15,44.65,36.1,37.14,34.23,34.12,34.56,33.31,36.88,35.77,30.66,29.89,27.54,22.92,22.69,21.0,20.41,20.585,20.59,18.894,19.933,20.924,22.175,21.666,21.725
,,,,,,evolution-des-cereales-pendant-la-periode-1980-2022,,,,,,,,,,Rendement (Qx/Ha),8.732984293193716,10.893709327548807,14.157276995305164,7.58128078817734,8.112280701754386,12.956666666666667,3.3778625954198476,10.23121387283237,0.2040133779264214,0.6169154228855721,10.298947368421052,16.635730858468676,16.593886462882097,13.17258883248731,1.1111111111111112,1.7555110220440882,18.505555555555556,6.004627249357327,7.98906439854192,19.08868980963046,8.729916897506925,11.521270866989768,0.6938358165352031,24.395662368112546,20.022569444444443,20.92164515160612,15.476681127982644,21.546267822197372,10.685909980430528,17.30879892940783,3.929193899782135,19.28228621291448,22.34420449537241,6.508,22.98873101420872,9.84746174398834,4.117289946576008,19.343706996930244,5.916821351527617,25.52480405276238,13.57032694475761,18.964275823871503,11.695742232451092
,,,,,,evolution-des-cereales-pendant-la-periode-1980-2022,,,,,,,,,,Pourcentage /Sup Emb,0.9825479930191972,0.9934924078091105,1.0,0.9532019704433498,0.8578947368421053,0.9966666666666666,0.6068702290076337,0.9826589595375722,0.046822742474916385,0.13681592039800994,1.0,0.974477958236659,1.0,0.9822335025380712,0.16260162601626016,0.39879759519038077,0.9833333333333334,0.8457583547557841,0.8998784933171325,0.9847704367301232,0.8252077562326869,0.7108239095315024,0.058720420683610865,0.9941383352872217,0.9858217592592592,0.9978985289702792,0.9842733188720172,0.9994408722393066,0.685583822570124,0.9969889595182335,0.38271604938271603,0.9965095986038394,0.9977963860731599,0.5,0.9995100440960313,0.7218848676220548,0.5366682855755222,0.9433682650576904,0.5419655847087744,0.9392085643280444,0.8782412626832018,0.9459983384104126,0.9424626006904488
